,precision,recall,f1-score,support
Bud Root Dropping,1.0,1.0,1.0,78.0
Bud Rot,1.0,1.0,1.0,71.0
Gray Leaf Spot,0.9906542056074766,0.9906542056074766,0.9906542056074766,321.0
Leaf Rot,0.9880952380952381,0.9880952380952381,0.9880952380952381,252.0
Stem Bleeding,1.0,1.0,1.0,152.0
accuracy,0.9931350114416476,0.9931350114416476,0.9931350114416476,0.9931350114416476
macro avg,0.9957498887405428,0.9957498887405428,0.9957498887405428,874.0
weighted avg,0.9931350114416476,0.9931350114416476,0.9931350114416476,874.0
