epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8602666854858398,0.0010000000474974513,0.3795117139816284,0.8960834741592407,0.8358666896820068,0.9688581228256226,0.10009555518627167,0.968822181224823,0.967704713344574
1,0.9450666904449463,0.0010000000474974513,0.15464602410793304,0.951222836971283,0.9386666417121887,0.9769319295883179,0.08125012367963791,0.9769319295883179,0.9769319295883179
2,0.9565333127975464,0.0010000000474974513,0.12140780687332153,0.959274172782898,0.9516000151634216,0.979238748550415,0.0751224011182785,0.9792147874832153,0.9780853390693665
3,0.9637333154678345,0.0010000000474974513,0.11034893989562988,0.9662379622459412,0.9616000056266785,0.9861591458320618,0.05868152156472206,0.9861591458320618,0.9861591458320618
4,0.9702666401863098,0.0010000000474974513,0.08312284201383591,0.9728027582168579,0.9681333303451538,0.9780853390693665,0.07622314244508743,0.9780853390693665,0.9780853390693665
5,0.9715999960899353,0.0010000000474974513,0.08424854278564453,0.9739981293678284,0.9689333438873291,0.9896193742752075,0.052707791328430176,0.9896193742752075,0.9896193742752075
6,0.9715999960899353,0.0010000000474974513,0.07964564859867096,0.9744104743003845,0.9697333574295044,0.9907727837562561,0.05291371047496796,0.9907727837562561,0.9907727837562561
7,0.9710666537284851,0.0010000000474974513,0.07835949212312698,0.9721776247024536,0.9690666794776917,0.9896193742752075,0.051141414791345596,0.9896193742752075,0.9896193742752075
8,0.9789333343505859,0.0010000000474974513,0.0646088644862175,0.9804655909538269,0.977066695690155,0.9896193742752075,0.05266955867409706,0.9896193742752075,0.9896193742752075
9,0.9737333059310913,0.0010000000474974513,0.0726071149110794,0.9760438799858093,0.9724000096321106,0.9907727837562561,0.05362346023321152,0.9907727837562561,0.9907727837562561
10,0.9747999906539917,0.0010000000474974513,0.07274051755666733,0.9763084053993225,0.9725333452224731,0.9907727837562561,0.047175560146570206,0.9907727837562561,0.9907727837562561
11,0.9778666496276855,0.0010000000474974513,0.06029915064573288,0.9790135025978088,0.9765333533287048,0.9907727837562561,0.049105968326330185,0.9907727837562561,0.9907727837562561
12,0.975600004196167,0.0010000000474974513,0.06658454239368439,0.9775160551071167,0.9738666415214539,0.9919261932373047,0.04724215343594551,0.9919261932373047,0.9919261932373047
13,0.977733314037323,0.0010000000474974513,0.06332150846719742,0.9787546992301941,0.9766666889190674,0.9907727837562561,0.05754445865750313,0.9907727837562561,0.9907727837562561
14,0.980400025844574,0.0010000000474974513,0.055528707802295685,0.9814245700836182,0.979200005531311,0.9919261932373047,0.0511043556034565,0.9919261932373047,0.9919261932373047
15,0.9801333546638489,0.0010000000474974513,0.05994277074933052,0.9814171195030212,0.9787999987602234,0.9930796027183533,0.048051297664642334,0.9930796027183533,0.9930796027183533
16,0.9857333302497864,0.0005000000237487257,0.03710334002971649,0.9866452813148499,0.9850666522979736,0.9942330121994019,0.04650646448135376,0.9942330121994019,0.9942330121994019
17,0.9879999756813049,0.0005000000237487257,0.031534288078546524,0.9890462160110474,0.9872000217437744,0.9930796027183533,0.05203673243522644,0.9930796027183533,0.9930796027183533
18,0.9898666739463806,0.0005000000237487257,0.027482476085424423,0.9899920225143433,0.9891999959945679,0.9930796027183533,0.047618523240089417,0.9930796027183533,0.9930796027183533
19,0.990933358669281,0.0005000000237487257,0.0256064273416996,0.9913217425346375,0.9900000095367432,0.9930796027183533,0.05380774661898613,0.9930796027183533,0.9930796027183533
20,0.9886666536331177,0.0005000000237487257,0.030640702694654465,0.9890578985214233,0.98826664686203,0.9942330121994019,0.053091078996658325,0.9942330121994019,0.9942330121994019
21,0.9896000027656555,0.0005000000237487257,0.027686499059200287,0.9899946451187134,0.989466667175293,0.9930796027183533,0.055528849363327026,0.9930796027183533,0.9930796027183533
22,0.9911999702453613,0.0002500000118743628,0.0237010195851326,0.9918601512908936,0.9910666942596436,0.9942330121994019,0.05002778023481369,0.9942330121994019,0.9942330121994019
23,0.9896000027656555,0.0002500000118743628,0.025989893823862076,0.9901214838027954,0.9889333248138428,0.9942330121994019,0.05219630151987076,0.9942330121994019,0.9942330121994019
24,0.9913333058357239,0.0002500000118743628,0.020870190113782883,0.9915977716445923,0.9913333058357239,0.9942330121994019,0.04961638152599335,0.9942330121994019,0.9942330121994019
25,0.9897333383560181,0.0002500000118743628,0.02527007646858692,0.9906542301177979,0.9893333315849304,0.9930796027183533,0.048262499272823334,0.9930796027183533,0.9930796027183533
26,0.9900000095367432,0.0002500000118743628,0.023653998970985413,0.990520715713501,0.9891999959945679,0.9942330121994019,0.05019741505384445,0.9942330121994019,0.9942330121994019
