epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.919866681098938,0.0010000000474974513,0.22402861714363098,0.9390074610710144,0.9031999707221985,0.9711649417877197,0.07879958301782608,0.9733487963676453,0.9688581228256226
1,0.9729333519935608,0.0010000000474974513,0.08032096177339554,0.9745683073997498,0.97079998254776,0.9780853390693665,0.06947802007198334,0.9803467988967896,0.9780853390693665
2,0.9811999797821045,0.0010000000474974513,0.05537542328238487,0.9827539920806885,0.9801333546638489,0.9919261932373047,0.03425418958067894,0.9919261932373047,0.9919261932373047
3,0.9815999865531921,0.0010000000474974513,0.05316179245710373,0.9828854203224182,0.9801333546638489,0.9884659647941589,0.04781235009431839,0.9884659647941589,0.9884659647941589
4,0.984000027179718,0.0010000000474974513,0.04723731428384781,0.9849071502685547,0.9832000136375427,0.9919261932373047,0.0351109653711319,0.9919261932373047,0.9919261932373047
5,0.9860000014305115,0.0010000000474974513,0.04097189009189606,0.9866542220115662,0.9857333302497864,0.9896193742752075,0.03572094812989235,0.9896193742752075,0.9896193742752075
6,0.9865333437919617,0.0010000000474974513,0.03557446599006653,0.987056314945221,0.9862666726112366,0.9907727837562561,0.03323957324028015,0.9907727837562561,0.9907727837562561
7,0.9887999892234802,0.0010000000474974513,0.03277236595749855,0.9889259338378906,0.98826664686203,0.9953863620758057,0.033661939203739166,0.9953863620758057,0.9953863620758057
8,0.9878666400909424,0.0010000000474974513,0.032275840640068054,0.9878650307655334,0.9877333045005798,0.9953863620758057,0.032960038632154465,0.9953863620758057,0.9953863620758057
9,0.9879999756813049,0.0010000000474974513,0.03452909365296364,0.9885210990905762,0.9874666929244995,0.9919261932373047,0.04684760048985481,0.9919261932373047,0.9919261932373047
10,0.989466667175293,0.0010000000474974513,0.02891567349433899,0.9901214838027954,0.9889333248138428,0.9873125553131104,0.047522690147161484,0.9873125553131104,0.9873125553131104
11,0.9890666604042053,0.0010000000474974513,0.029670177027583122,0.9894596338272095,0.9887999892234802,0.9919261932373047,0.03968553990125656,0.9919261932373047,0.9919261932373047
12,0.989466667175293,0.0010000000474974513,0.028882034122943878,0.9898585677146912,0.9890666604042053,0.9919261932373047,0.031915389001369476,0.9919261932373047,0.9919261932373047
13,0.991599977016449,0.0010000000474974513,0.023044778034090996,0.9915966391563416,0.9911999702453613,0.9930796027183533,0.03424449265003204,0.9930796027183533,0.9930796027183533
14,0.9874666929244995,0.0010000000474974513,0.03074081987142563,0.9877284169197083,0.987333357334137,0.9965397715568542,0.03394079953432083,0.9965397715568542,0.9965397715568542
15,0.9914666414260864,0.0010000000474974513,0.02305334247648716,0.9915977716445923,0.9913333058357239,0.9953863620758057,0.035964030772447586,0.9953863620758057,0.9953863620758057
16,0.9896000027656555,0.0010000000474974513,0.02626762166619301,0.9898585677146912,0.9890666604042053,0.9838523864746094,0.050899263471364975,0.9838523864746094,0.9838523864746094
17,0.989466667175293,0.0010000000474974513,0.02745925448834896,0.989861249923706,0.9893333315849304,0.9953863620758057,0.02891969121992588,0.9953863620758057,0.9953863620758057
18,0.9897333383560181,0.0010000000474974513,0.027360087260603905,0.9899960160255432,0.9896000027656555,0.9930796027183533,0.043630409985780716,0.9930796027183533,0.9930796027183533
19,0.991599977016449,0.0010000000474974513,0.02092435024678707,0.9918622970581055,0.9913333058357239,0.9930796027183533,0.048244040459394455,0.9930716156959534,0.9919261932373047
20,0.9918666481971741,0.0010000000474974513,0.022243531420826912,0.9918645024299622,0.991599977016449,0.9953863620758057,0.03586437180638313,0.9953863620758057,0.9953863620758057
21,0.9889333248138428,0.0010000000474974513,0.027970116585493088,0.9894582629203796,0.9886666536331177,0.9942330121994019,0.045759133994579315,0.9942330121994019,0.9942330121994019
22,0.9923999905586243,0.0010000000474974513,0.018547581508755684,0.9929267168045044,0.9919999837875366,0.9953863620758057,0.0421660877764225,0.9953863620758057,0.9953863620758057
23,0.994533360004425,0.0005000000237487257,0.015585697256028652,0.994533360004425,0.994533360004425,0.9942330121994019,0.04088962823152542,0.9942330121994019,0.9942330121994019
24,0.9938666820526123,0.0005000000237487257,0.01554963830858469,0.9941309690475464,0.9937333464622498,0.9907727837562561,0.050534967333078384,0.9907621145248413,0.9896193742752075
25,0.9932000041007996,0.0005000000237487257,0.016055306419730186,0.9934631586074829,0.9929333329200745,0.9942330121994019,0.04111097380518913,0.9942330121994019,0.9942330121994019
26,0.9941333532333374,0.0005000000237487257,0.012086140923202038,0.9941333532333374,0.9941333532333374,0.9930796027183533,0.03951740637421608,0.9930796027183533,0.9930796027183533
27,0.995199978351593,0.0005000000237487257,0.011776750907301903,0.995199978351593,0.995199978351593,0.9942330121994019,0.04026760905981064,0.9942330121994019,0.9942330121994019
