,precision,recall,f1-score,support
Bud Root Dropping,1.0,1.0,1.0,78.0
Bud Rot,1.0,1.0,1.0,71.0
Gray Leaf Spot,0.9846153846153847,0.9968847352024922,0.9907120743034056,321.0
Leaf Rot,0.9959677419354839,0.9801587301587301,0.988,252.0
Stem Bleeding,1.0,1.0,1.0,152.0
accuracy,0.9931350114416476,0.9931350114416476,0.9931350114416476,0.9931350114416476
macro avg,0.9961166253101738,0.9954086930722446,0.9957424148606812,874.0
weighted avg,0.9931869673103895,0.9931350114416476,0.9931288053219601,874.0
