,precision,recall,f1-score,support
Bud Root Dropping,1.0,1.0,1.0,78.0
Bud Rot,1.0,1.0,1.0,71.0
Gray Leaf Spot,0.9968454258675079,0.9844236760124611,0.9905956112852664,321.0
Leaf Rot,0.98046875,0.996031746031746,0.9881889763779528,252.0
Stem Bleeding,1.0,1.0,1.0,152.0
accuracy,0.9931350114416476,0.9931350114416476,0.9931350114416476,0.9931350114416476
macro avg,0.9954628351735015,0.9960910844088413,0.9957569175326437,874.0
weighted avg,0.9932099619032837,0.9931350114416476,0.9931405186153485,874.0
