epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9147999882698059,0.0010000000474974513,0.23239348828792572,0.9338865876197815,0.9002666473388672,0.9653978943824768,0.08288317173719406,0.9653978943824768,0.9653978943824768
1,0.9761333465576172,0.0010000000474974513,0.07193810492753983,0.9772545099258423,0.9738666415214539,0.985005795955658,0.058855168521404266,0.9849884510040283,0.9838523864746094
2,0.9821333289146423,0.0010000000474974513,0.052630387246608734,0.9828945398330688,0.9806666374206543,0.9942330121994019,0.039339397102594376,0.9942330121994019,0.9942330121994019
3,0.9821333289146423,0.0010000000474974513,0.04631154611706734,0.983046293258667,0.9818666577339172,0.9930796027183533,0.04778805747628212,0.9930796027183533,0.9930796027183533
4,0.9834666848182678,0.0010000000474974513,0.04512552544474602,0.9839872121810913,0.9832000136375427,0.9919261932373047,0.04003661125898361,0.9919261932373047,0.9919261932373047
5,0.98826664686203,0.0010000000474974513,0.03495477885007858,0.9886561036109924,0.9877333045005798,0.9942330121994019,0.04351893439888954,0.9942330121994019,0.9942330121994019
6,0.9879999756813049,0.0010000000474974513,0.03228062763810158,0.9883906841278076,0.9876000285148621,0.9942330121994019,0.03726809099316597,0.9942330121994019,0.9942330121994019
7,0.9911999702453613,0.0010000000474974513,0.024559786543250084,0.9913252592086792,0.9904000163078308,0.9930796027183533,0.042497169226408005,0.9930796027183533,0.9930796027183533
8,0.9905333518981934,0.0010000000474974513,0.026203786954283714,0.9909248352050781,0.9900000095367432,0.9919261932373047,0.05054622143507004,0.9919261932373047,0.9919261932373047
9,0.9900000095367432,0.0010000000474974513,0.0234517864882946,0.9902640581130981,0.9900000095367432,0.9919261932373047,0.04074378311634064,0.9930716156959534,0.9919261932373047
10,0.9914666414260864,0.0010000000474974513,0.025689126923680305,0.9918612241744995,0.9911999702453613,0.9896193742752075,0.043682754039764404,0.9896193742752075,0.9896193742752075
11,0.9874666929244995,0.0010000000474974513,0.03431627154350281,0.9882494211196899,0.9868000149726868,0.9930796027183533,0.04623279720544815,0.9930796027183533,0.9930796027183533
12,0.995199978351593,0.0005000000237487257,0.011716881766915321,0.9954642653465271,0.9949333071708679,0.9930796027183533,0.03726264089345932,0.9930796027183533,0.9930796027183533
13,0.9958666563034058,0.0005000000237487257,0.011411856859922409,0.9959983825683594,0.9955999851226807,0.9919261932373047,0.043618518859148026,0.9930716156959534,0.9919261932373047
14,0.9957333207130432,0.0005000000237487257,0.00977461040019989,0.9958661198616028,0.9957333207130432,0.9942330121994019,0.038973983377218246,0.9942330121994019,0.9942330121994019
15,0.9947999715805054,0.0005000000237487257,0.011098363436758518,0.9951974153518677,0.9946666955947876,0.9942330121994019,0.043289199471473694,0.9942330121994019,0.9942330121994019
16,0.9962666630744934,0.0005000000237487257,0.009496922604739666,0.9963995218276978,0.9962666630744934,0.9953863620758057,0.04276152327656746,0.9953863620758057,0.9953863620758057
17,0.996666669845581,0.0002500000118743628,0.0064408606849610806,0.9967995882034302,0.996666669845581,0.9942330121994019,0.0413162000477314,0.9942330121994019,0.9942330121994019
18,0.9965333342552185,0.0002500000118743628,0.008103318512439728,0.9965333342552185,0.9965333342552185,0.9953863620758057,0.0404115654528141,0.9953863620758057,0.9953863620758057
19,0.996666669845581,0.0002500000118743628,0.006363253574818373,0.9967991709709167,0.9965333342552185,0.9942330121994019,0.041124142706394196,0.9942330121994019,0.9942330121994019
20,0.9972000122070312,0.0002500000118743628,0.005846396088600159,0.9972000122070312,0.9972000122070312,0.9942330121994019,0.04215877130627632,0.9942330121994019,0.9942330121994019
21,0.9969333410263062,0.0002500000118743628,0.006721562705934048,0.9969333410263062,0.9969333410263062,0.9919261932373047,0.04690425097942352,0.9919261932373047,0.9919261932373047
22,0.9968000054359436,0.0001250000059371814,0.00596584239974618,0.9967995882034302,0.996666669845581,0.9942330121994019,0.04309024289250374,0.9942330121994019,0.9942330121994019
