,precision,recall,f1-score,support
Bud Root Dropping,1.0,1.0,1.0,78.0
Bud Rot,1.0,1.0,1.0,71.0
Gray Leaf Spot,1.0,0.9781931464174455,0.988976377952756,321.0
Leaf Rot,0.972972972972973,1.0,0.9863013698630136,252.0
Stem Bleeding,1.0,1.0,1.0,152.0
accuracy,0.9919908466819222,0.9919908466819222,0.9919908466819222,0.9919908466819222
macro avg,0.9945945945945945,0.9956386292834891,0.9950555495631539,874.0
weighted avg,0.9922073102851134,0.9919908466819222,0.9920015589568811,874.0
